Container is store 10 languages:
[Procedural]: name = uwSNMURKTC  year = 2019  popularity = 76.59 abstract variables = True, quotient = 201.9
[Procedural]: name = sqqvxpaBMI  year = 2005  popularity = 91.74 abstract variables = True, quotient = 200.5
[Procedural]: name = HlZpPqTvgD  year = 1986  popularity = 86.71 abstract variables = True, quotient = 198.6
[ObjectOriented]: name = rUwNgeeAiC  year = 1962  popularity = 90.18 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 196.2
[Functional]: name = kzRNDXqOgy  year = 1977  popularity = 16.35 lazy calculation = False legacy = STRICT, quotient = 197.7
[Procedural]: name = bDuSceJraK  year = 1968  popularity = 62.07 abstract variables = False, quotient = 196.8
[Procedural]: name = yiNWySLOXA  year = 2005  popularity = 15.87 abstract variables = True, quotient = 200.5
[Procedural]: name = oPifwYwRCi  year = 1979  popularity = 67.51 abstract variables = True, quotient = 197.9
[Functional]: name = QxxfdtQxzQ  year = 1971  popularity = 79.28 lazy calculation = False legacy = DYNAMIC, quotient = 197.1
[Functional]: name = uaYwWFRyro  year = 1985  popularity = 17.22 lazy calculation = True legacy = DYNAMIC, quotient = 198.5

