Container is store 1000 languages:
[Procedural]: name = vtYqBUcxF8  year = 1951  popularity = 25.58 abstract variables = True, quotient = 195.1
[ObjectOriented]: name = Os9dJ3VkPD  year = 1972  popularity = 96.64 abstract variables = False legacy = Legacy.SINGLE, quotient = 197.2
[Procedural]: name = RqO9hlRXeh  year = 1985  popularity = 86.73 abstract variables = False, quotient = 198.5
[Functional]: name = KtOIUU6hie  year = 1981  popularity = 67.71 lazy calculation = False legacy = DYNAMIC, quotient = 198.1
[ObjectOriented]: name = XXeFUvq9Lm  year = 1970  popularity = 89.55 abstract variables = True legacy = Legacy.SINGLE, quotient = 197.0
[Procedural]: name = iw7n74nqQI  year = 1965  popularity = 69.54 abstract variables = True, quotient = 196.5
[Procedural]: name = uneS1GECqq  year = 1978  popularity = 6.13 abstract variables = False, quotient = 197.8
[ObjectOriented]: name = whJYL6ETEZ  year = 2008  popularity = 94.46 abstract variables = True legacy = Legacy.SINGLE, quotient = 200.8
[Procedural]: name = 8scjN9cc47  year = 1946  popularity = 15.05 abstract variables = True, quotient = 194.6
[Functional]: name = H21fNRWong  year = 1989  popularity = 81.28 lazy calculation = True legacy = STRICT, quotient = 198.9
[Functional]: name = 1cHeRqdDJO  year = 1964  popularity = 9.52 lazy calculation = False legacy = DYNAMIC, quotient = 196.4
[ObjectOriented]: name = cceOnfmXr9  year = 1965  popularity = 60.52 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 196.5
[ObjectOriented]: name = rV7BJtbYpw  year = 1980  popularity = 92.59 abstract variables = False legacy = Legacy.SINGLE, quotient = 198.0
[Functional]: name = O2fRNwY8Ih  year = 1950  popularity = 26.01 lazy calculation = True legacy = STRICT, quotient = 195.0
[ObjectOriented]: name = LlcEFaG5bP  year = 1988  popularity = 51.82 abstract variables = True legacy = Legacy.SINGLE, quotient = 198.8
[Functional]: name = qKWr5EKAbh  year = 1956  popularity = 28.53 lazy calculation = True legacy = DYNAMIC, quotient = 195.6
[Procedural]: name = NNHSYJaecL  year = 1958  popularity = 50.2 abstract variables = False, quotient = 195.8
[ObjectOriented]: name = XKJ6dvlcJG  year = 2018  popularity = 60.13 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 201.8
[ObjectOriented]: name = 6inXpdc3cR  year = 1983  popularity = 54.6 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 198.3
[Functional]: name = 18Uo1cMgZ8  year = 2001  popularity = 36.05 lazy calculation = True legacy = DYNAMIC, quotient = 200.1
[ObjectOriented]: name = jCZAeS9LTK  year = 1946  popularity = 30.67 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = SuoIoCwXKU  year = 1995  popularity = 29.46 abstract variables = True legacy = Legacy.SINGLE, quotient = 199.5
[ObjectOriented]: name = dvRBKuoRP3  year = 1964  popularity = 65.62 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 196.4
[ObjectOriented]: name = SeKYdwIlPB  year = 1983  popularity = 20.13 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 198.3
[Procedural]: name = 6rKPgiiYqw  year = 1960  popularity = 30.87 abstract variables = True, quotient = 196.0
[ObjectOriented]: name = ihFVspXJ3k  year = 1946  popularity = 83.6 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.6
[ObjectOriented]: name = pO2ZKxl2Iv  year = 1996  popularity = 32.95 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 199.6
[Procedural]: name = CxbYH8fdmM  year = 1974  popularity = 55.88 abstract variables = False, quotient = 197.4
[Functional]: name = lNAwEtYDsx  year = 1959  popularity = 89.79 lazy calculation = False legacy = DYNAMIC, quotient = 195.9
[ObjectOriented]: name = nFQWAemrO5  year = 1970  popularity = 63.86 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 197.0
[ObjectOriented]: name = l6ZW416UYf  year = 2002  popularity = 91.04 abstract variables = True legacy = Legacy.SINGLE, quotient = 200.2
[ObjectOriented]: name = 5OjSL1mN18  year = 1967  popularity = 51.65 abstract variables = False legacy = Legacy.SINGLE, quotient = 196.7
[Procedural]: name = tiU7DG683b  year = 1999  popularity = 11.44 abstract variables = False, quotient = 199.9
[ObjectOriented]: name = aLULUtlXqm  year = 1945  popularity = 72.38 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = RrBHFCjlVK  year = 1976  popularity = 31.66 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 197.6
[Procedural]: name = HZQLGmdcOf  year = 1999  popularity = 57.72 abstract variables = False, quotient = 199.9
[Procedural]: name = iGipPUW79j  year = 1946  popularity = 84.54 abstract variables = False, quotient = 194.6
[Procedural]: name = xHpWSmaDjf  year = 1989  popularity = 92.77 abstract variables = False, quotient = 198.9
[Procedural]: name = B4OWVqmqAA  year = 1950  popularity = 36.63 abstract variables = True, quotient = 195.0
[Procedural]: name = TvTRWpxI1O  year = 1962  popularity = 51.84 abstract variables = False, quotient = 196.2
[Procedural]: name = CXi3B6SCRI  year = 1974  popularity = 87.89 abstract variables = False, quotient = 197.4
[Procedural]: name = 7jXXSv7pU6  year = 2019  popularity = 2.79 abstract variables = True, quotient = 201.9
[ObjectOriented]: name = OAmFuAga6Q  year = 1953  popularity = 26.21 abstract variables = False legacy = Legacy.SINGLE, quotient = 195.3
[Functional]: name = F1qDHeVZ2M  year = 2014  popularity = 16.67 lazy calculation = False legacy = DYNAMIC, quotient = 201.4
[Functional]: name = tH7HRuXlrX  year = 1963  popularity = 75.75 lazy calculation = True legacy = STRICT, quotient = 196.3
[Procedural]: name = EEIfkSBNFl  year = 1992  popularity = 94.51 abstract variables = True, quotient = 199.2
[Procedural]: name = BwstJ7BYvn  year = 2016  popularity = 78.77 abstract variables = False, quotient = 201.6
[ObjectOriented]: name = njr3v3vFXu  year = 2008  popularity = 50.0 abstract variables = False legacy = Legacy.SINGLE, quotient = 200.8
[Procedural]: name = USljtxDChj  year = 1999  popularity = 89.78 abstract variables = False, quotient = 199.9
[Procedural]: name = 763b48q3ZK  year = 1947  popularity = 78.83 abstract variables = False, quotient = 194.7
[Procedural]: name = fBe8W9Qmlv  year = 1986  popularity = 66.25 abstract variables = True, quotient = 198.6
[ObjectOriented]: name = WPU58VHU9d  year = 1982  popularity = 1.95 abstract variables = False legacy = Legacy.SINGLE, quotient = 198.2
[Procedural]: name = kL1d5TZr1r  year = 2006  popularity = 21.11 abstract variables = False, quotient = 200.6
[ObjectOriented]: name = wuPEanUNfm  year = 2014  popularity = 99.0 abstract variables = False legacy = Legacy.SINGLE, quotient = 201.4
[Functional]: name = 9BSkJYVhL3  year = 1958  popularity = 10.94 lazy calculation = False legacy = DYNAMIC, quotient = 195.8
[ObjectOriented]: name = s9EFsfxBFk  year = 1960  popularity = 21.97 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 196.0
[Procedural]: name = l8mGhkuMq7  year = 1979  popularity = 39.86 abstract variables = True, quotient = 197.9
[Functional]: name = 3T6vYXBBkQ  year = 1999  popularity = 20.6 lazy calculation = True legacy = STRICT, quotient = 199.9
[ObjectOriented]: name = 6mc4k6VAbY  year = 1951  popularity = 7.55 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 195.1
[Procedural]: name = mVVB147Bka  year = 2008  popularity = 48.9 abstract variables = False, quotient = 200.8
[Functional]: name = VKgKMhZuep  year = 1952  popularity = 26.3 lazy calculation = True legacy = STRICT, quotient = 195.2
[Functional]: name = QEp5KZXiW5  year = 2013  popularity = 85.86 lazy calculation = False legacy = STRICT, quotient = 201.3
[Functional]: name = G6v2exMJvE  year = 1984  popularity = 19.67 lazy calculation = True legacy = DYNAMIC, quotient = 198.4
[Procedural]: name = oZ3SiTMAKe  year = 1997  popularity = 3.99 abstract variables = False, quotient = 199.7
[Procedural]: name = j4lPL1irrn  year = 1948  popularity = 26.26 abstract variables = False, quotient = 194.8
[ObjectOriented]: name = HtGJvrjBEL  year = 1969  popularity = 50.64 abstract variables = True legacy = Legacy.SINGLE, quotient = 196.9
[Functional]: name = HdhKKcsf9S  year = 2015  popularity = 4.4 lazy calculation = True legacy = STRICT, quotient = 201.5
[Procedural]: name = atvYEdHwkX  year = 2001  popularity = 93.8 abstract variables = False, quotient = 200.1
[Functional]: name = ZfUwCA6v1m  year = 1965  popularity = 54.0 lazy calculation = True legacy = DYNAMIC, quotient = 196.5
[ObjectOriented]: name = u3v8YpFqhV  year = 1993  popularity = 44.76 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 199.3
[Procedural]: name = 3unndrhGdR  year = 1958  popularity = 16.2 abstract variables = True, quotient = 195.8
[Procedural]: name = nu8CbDMRQI  year = 1962  popularity = 23.68 abstract variables = True, quotient = 196.2
[Functional]: name = QX25Rbit3n  year = 1981  popularity = 31.23 lazy calculation = True legacy = DYNAMIC, quotient = 198.1
[ObjectOriented]: name = ggxN7S6esx  year = 1947  popularity = 50.88 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.7
[Procedural]: name = ATk44GpRmO  year = 1986  popularity = 42.26 abstract variables = True, quotient = 198.6
[Procedural]: name = MGxSkcC1J6  year = 1992  popularity = 56.18 abstract variables = True, quotient = 199.2
[Functional]: name = sdNTrLpitW  year = 1982  popularity = 2.53 lazy calculation = True legacy = DYNAMIC, quotient = 198.2
[Functional]: name = c7ZxKwQ7xX  year = 1984  popularity = 65.41 lazy calculation = False legacy = STRICT, quotient = 198.4
[Functional]: name = 76s6l9SvQo  year = 1961  popularity = 30.19 lazy calculation = False legacy = DYNAMIC, quotient = 196.1
[ObjectOriented]: name = f2B7dbNULd  year = 2019  popularity = 88.67 abstract variables = False legacy = Legacy.SINGLE, quotient = 201.9
[Procedural]: name = 2UFkCOuMNE  year = 1960  popularity = 66.14 abstract variables = False, quotient = 196.0
[ObjectOriented]: name = 8MgvtVoMuw  year = 1956  popularity = 23.58 abstract variables = False legacy = Legacy.SINGLE, quotient = 195.6
[ObjectOriented]: name = EsiuP3mYgf  year = 2001  popularity = 69.36 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 200.1
