Container is store 10000 languages:
[Procedural]: name = AZMEZYPTRM  year = 1945  popularity = 83.23 abstract variables = True, quotient = 194.5
[Procedural]: name = ZIZJWUNGTV  year = 1945  popularity = 45.26 abstract variables = True, quotient = 194.5
[Procedural]: name = UFLNQWRFIZ  year = 1945  popularity = 20.33 abstract variables = True, quotient = 194.5
[Procedural]: name = TUSFKLVZIJ  year = 1945  popularity = 18.58 abstract variables = False, quotient = 194.5
[Functional]: name = OWUOAUIHZQ  year = 1945  popularity = 46.42 lazy calculation = False legacy = ERROR, quotient = 194.5
[ObjectOriented]: name = THWKYEJEJZ  year = 1945  popularity = 92.35 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = QMMYNJIZVV  year = 1945  popularity = 45.46 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Functional]: name = IBNPUIQTGM  year = 1945  popularity = 81.0 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[Functional]: name = DVSXQEPYRM  year = 1945  popularity = 90.54 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Functional]: name = LMVNAVAKTS  year = 1945  popularity = 94.69 lazy calculation = True legacy = ERROR, quotient = 194.5
[ObjectOriented]: name = GAOLTQJDJZ  year = 1945  popularity = 83.57 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = GKVIZTWAXC  year = 1945  popularity = 42.06 abstract variables = False, quotient = 194.5
[ObjectOriented]: name = RXXXWJBXGZ  year = 1945  popularity = 45.16 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = URKURCZINH  year = 1945  popularity = 89.3 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = BLEAMXPTWE  year = 1945  popularity = 77.57 abstract variables = True, quotient = 194.5
[Functional]: name = HYBIFGRLBM  year = 1945  popularity = 37.7 lazy calculation = False legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = XJYQEWZQGJ  year = 1945  popularity = 73.95 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = CRNOYQCFZO  year = 1945  popularity = 6.69 abstract variables = True legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = RLINMNWOXE  year = 1945  popularity = 37.72 abstract variables = True, quotient = 194.5
[Functional]: name = JFDFQEOCJS  year = 1945  popularity = 5.11 lazy calculation = True legacy = STRICT, quotient = 194.5
[Procedural]: name = CJUZKGPTRN  year = 1945  popularity = 10.55 abstract variables = True, quotient = 194.5
[Functional]: name = CWUMIQGLPF  year = 1945  popularity = 28.79 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = XYDVSMRTMQ  year = 1945  popularity = 13.92 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = YECAYXQTME  year = 1945  popularity = 67.5 abstract variables = True legacy = Legacy.SINGLE, quotient = 194.5
[ObjectOriented]: name = NLEJXHZVDA  year = 1945  popularity = 73.57 abstract variables = False legacy = Legacy.SINGLE, quotient = 194.5
[Functional]: name = IWKPUZWEDQ  year = 1945  popularity = 4.58 lazy calculation = True legacy = DYNAMIC, quotient = 194.5
[Procedural]: name = RHMSVOCCPZ  year = 1945  popularity = 58.26 abstract variables = True, quotient = 194.5
[ObjectOriented]: name = MNHTAWMYLN  year = 1945  popularity = 36.87 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[ObjectOriented]: name = VFYYWWZZXI  year = 1945  popularity = 65.81 abstract variables = False legacy = Legacy.MULTIPLE, quotient = 194.5
[Procedural]: name = VTQLJHOEWF  year = 1945  popularity = 74.27 abstract variables = True, quotient = 194.5
